Round 1,,,,,,,,
OVR,Team,Position,Name,Overall,Age,Salary,,QUICKLINKS
1,NY Islanders,C,Connor McDavid,80,23,"$12,500,000",,Round 1
2,Buffalo Sabres,C/LW/RW,Leon Draisaitl,80,24,"$8,500,000",,Round 2
3,St. Louis Blues,C,Nathan MacKinnon,81,24,"$6,300,000",,Round 3
4,Minnesota Wild,C,Mika Zibanejad,82,26,"$5,350,000",,Round 4
5,Vancouver Canucks,C,Elias Pettersson,75,21,"$925,000",,Round 5
6,Nashville Predators,C,Jack Eichel,79,23,"$10,000,000",,Round 6
7,Detroit Red Wings,G,Tuukka Rask,85,32,"$7,000,000",,Round 7
8,Carolina Hurricanes,C,Aleksander Barkov,77,24,"$5,900,000",,Round 8
9,Toronto Maple Leafs,C,Auston Matthews,76,22,"$11,634,000",,Round 9
10,Vegas Golden Knights,D,Cale Makar,67,21,"$880,834",,Round 10
11,Philadelphia Flyers,C,Mark Scheifele,77,26,"$6,125,000",,Round 11
12,Boston Bruins,LW/RW,Andrei Svechnikov,73,19,"$925,000",,Round 12
13,Winnipeg Jets,D,Quinn Hughes,66,20,"$916,668",,Round 13
14,Washington Capitals,C/RW,Brayden Point,76,23,"$6,750,000",,Round 14
15,NY Rangers,RW,David Pastrnak,76,23,"$6,666,666",,Round 15
16,Pittsburgh Penguins,LW,Artemi Panarin,78,28,"$11,642,857",,Round 16
17,Columbus Blue Jackets,G,Connor Hellebuyck,82,26,"$6,166,666",,Round 17
18,Colorado Avalanche,C/LW,Sebastian Aho,76,22,"$8,454,000",,Round 18
19,Boston Bruins,C,Bo Horvat,77,24,"$5,500,000",,Round 19
20,New Jersey Devils,C,Anthony Cirelli,73,22,"$728,333",,Round 20
21,Tampa Bay Lightning,G,Anton Khudobin,81,33,"$2,500,000",,Round 21
22,Los Angeles Kings,G,Andrei Vasilevskiy,80,25,"$3,500,000",,Round 22
23,Calgary Flames,RW,Nikita Kucherov,77,26,"$9,500,000",,Round 23
24,Montreal Canadiens,G,Carter Hart,74,21,"$730,833",,Round 24
25,Edmonton Oilers,D,Rasmus Dahlin,69,19,"$925,000",,Round 25
26,Ottawa Senators,RW,Mitch Marner,76,22,"$10,893,000",,Round 26
27,Chicago Blackhawks,RW,Mikko Rantanen,74,23,"$9,250,000",,
