Islanders,Connor McDavid
Sabres,Leon Draisaitl
Blues,Nathan MacKinnon
Wild,Mika Zibanejad
Canucks,Elias Pettersson
Predators,Jack Eichel
Red Wings,Tuukka Rask
Hurricanes,Aleksander Barkov
Maple Leafs,Auston Matthews
Golden Knights,Cale Makar
Flyers,Mark Scheifele
Bruins,Andrei Svechnikov
Jets,Quinn Hughes
Capitals,Brayden Point
Rangers,David Pastrnak
Penguins,Artemi Panarin
Blue Jackets,Connor Hellebuyck
Avalanche,Sebastian Aho
Bruins,Bo Horvat
Devils,Anthony Cirelli
Lightning,Anton Khudobin
Kings,Andrei Vasilevskiy
Flames,Nikita Kucherov
Canadiens,Carter Hart
Oilers,Rasmus Dahlin
Senators,Mitch Marner
Blackhawks,Mikko Rantanen
Sharks,Ben Bishop
Panthers,Carey Price
Kraken,Patrick Kane
Stars,J.T. Miller
Coyotes,Alex Ovechkin
Coyotes,Jacob Markstrom
Stars,Brad Marchand
Ducks,Dylan Larkin
Panthers,Steven Stamkos
Sharks,Sidney Crosby
Blackhawks,Victor Hedman
Senators,Mathew Barzal
Oilers,Patrik Laine
Canadiens,Pierre-Luc Dubois
Flames,Seth Jones
Kings,Colton Parayko
Lightning,Brent Burns
Devils,Nico Hischier
Avalanche,Jonathan Huberdeau
Avalanche,John Carlson
Blue Jackets,Jonathan Toews
Penguins,Elias Lindholm
Rangers,Kyle Connor
Capitals,Ivan Provorov
Jets,Matthew Tkachuk
Kraken,Sean Couturier
Flyers,Anze Kopitar
Golden Knights,Thomas Chabot
Maple Leafs,Roman Josi
Hurricanes,Gabriel Landeskog
Red Wings,Evgeni Malkin
Predators,Travis Konecny
Canucks,Zach Werenski
Maple Leafs,Miro Heiskanen
Blues,Filip Hronek
Sabres,Esa Lindell
Islanders,Teuvo Teravainen
Islanders,Tyler Seguin
Sabres,Darnell Nurse
Blues,Jake Guentzel
Wild,Charlie McAvoy
Canucks,Brady Tkachuk
Predators,Brock Boeser
Red Wings,Patrice Bergeron
Hurricanes,Aaron Ekblad
Penguins,Mark Stone
Golden Knights,Ilya Samsonov
Flyers,Blake Wheeler
Kraken,Elvis Merzlikins
Jets,Ryan Nugent-Hopkins
Capitals,Johnny Gaudreau
Rangers,Dougie Hamilton
Penguins,Claude Giroux
Blue Jackets,Robin Lehner
Ducks,Filip Forsberg
Ducks,Timo Meier
Devils,Pavel Zacha
Lightning,Frederik Andersen
Kings,Jack Hughes
Flames,John Gibson
Canadiens,Morgan Rielly
Oilers,Tomas Hertl
Senators,William Nylander
Blackhawks,Alex DeBrincat
Sharks,Drew Doughty
Panthers,Chris Kreider
Bruins,Mikhail Sergachev
Stars,Semyon Varlamov
Coyotes,Matt Niskanen
Coyotes,T.J. Oshie
Stars,Kris Letang
Rangers,John Tavares
Panthers,Max Domi
Sharks,Alexander Edler
Blackhawks,Jordan Binnington
Senators,Rasmus Ristolainen
Oilers,Mackenzie Blackwood
Canadiens,Adam Fox
Flames,Ryan O'Reilly
Kings,Kaapo Kakko
Lightning,Shea Weber
Devils,Sam Reinhart
Ducks,Anthony Mantha
Avalanche,Juuse Saros
Blue Jackets,Ryan Suter
Wild,Jakub Vrana
Bruins,Jakob Chychrun
Capitals,Philipp Grubauer
Jets,Nikolaj Ehlers
Kraken,Sean Monahan
Flyers,Travis Sanheim
Golden Knights,Shea Theodore
Wild,Jaccob Slavin
Hurricanes,Evgeny Kuznetsov
Red Wings,Corey Crawford
Predators,Darcy Kuemper
Canucks,Clayton Keller
Maple Leafs,Vladimir Tarasenko
Blues,Ryan Graves
Sabres,Hampus Lindholm
Islanders,Oscar Klefbom
Islanders,Noah Hanifin
Sabres,Bryan Rust
Blues,Joonas Korpisalo
Maple Leafs,Alex Pietrangelo
Canucks,Oliver Ekman-Larsson
Predators,Mathew Dumba
Red Wings,Jacob Trouba
Hurricanes,Kevin Fiala
Wild,Brandon Carlo
Golden Knights,Robert Thomas
Flyers,Marcus Hogberg
Blackhawks,Nick Suzuki
Jets,Brett Pesce
Capitals,Samuel Girard
Bruins,Zdeno Chara
Penguins,Damon Severson
Blue Jackets,Nicklas Backstrom
Avalanche,Brayden Schenn
Ducks,Kirby Dach
Devils,William Karlsson
Lightning,Mark Giordano
Kings,Casey Mittelstadt
Flames,Tom Wilson
Canadiens,Victor Olofsson
Oilers,Kailer Yamamoto
Senators,Pavel Francouz
Kraken,Ryan Pulock
Sharks,Mikko Koskinen
Panthers,Anthony Duclair
Bruins,Jake Debrusk
Stars,Linus Ullmark
Coyotes,Nazem Kadri
Coyotes,Travis Hamonic
Stars,Taylor Hall
Rangers,Adam Pelech
Panthers,Ryan Strome
Sharks,Anthony DeAngelo
Blackhawks,Adam Boqvist
Senators,Tristan Jarry
Oilers,Ryan Ellis
Canadiens,Joel Farabee
Flames,John Klingberg
Kings,Filip Zadina
Lightning,Brock Nelson
Devils,Alexandar Georgiev
Ducks,Martin Necas
Avalanche,Torey Krug
Blue Jackets,Evander Kane
Penguins,Jean-Gabriel Pageau
Rangers,Marc-Andre Fleury
Capitals,Jonas Brodin
Jets,Thatcher Demko
Kraken,Max Pacioretty
Ducks,Neal Pionk
Golden Knights,Rasmus Sandin
Avalanche,Tyler Bertuzzi
Hurricanes,Cody Glass
Red Wings,Dylan Strome
Predators,Noah Dobson
Canucks,Josh Morrissey
Maple Leafs,Phillip Danault
Blues,Roope Hintz
Sabres,Pavel Buchnevich
Islanders,Anthony Beauvillier
Islanders,Connor Murphy
Sabres,Jesperi Kotkaniemi
Blues,Dominik Kubalik
Maple Leafs,Brendan Gallagher
Canucks,Matt Murray
Canucks,Adam Gaudette
Red Wings,Sam Steel
Hurricanes,Andre Burakovsky
Wild,Jakob Silfverberg
Golden Knights,Drake Batherson
Flyers,Adrian Kempe
Kraken,Alex Killorn
Jets,Nick Schmaltz
Capitals,Jaden Schwartz
Rangers,Mike Hoffman
Penguins,Brady Skjei
Blue Jackets,Erik Karlsson
Wild,Filip Chytil
Flyers,Rickard Rakell
Devils,Oliver Bjorkstrand
Lightning,Logan Couture
Kings,Erik Brannstrom
Flames,Mattias Ekholm
Canadiens,Jordan Kyrou
Oilers,Charlie Coyle
Senators,Jeff Petry
Blackhawks,Jesper Bratt
Sharks,Kasperi Kapanen
Panthers,Matt Duchene
Bruins,Alex Tuch
Stars,Tyler Toffoli
Coyotes,Mikael Backlund
Coyotes,Alex Iafallo
Stars,Tyson Barrie
Bruins,Ethan Bear
Panthers,Nikita Zadorov
Sharks,Luke Kunin
Blackhawks,Erik Cernak
Senators,John Marino
Oilers,Kevin Hayes
Canadiens,Lawson Crouse
Flames,Tomas Tatar
Kings,Henri Jokiharju
Lightning,Conor Garland
Devils,Jonas Siegenthaler
Penguins,Mirco Mueller
Avalanche,Dillon Dube
Blue Jackets,Marcus Pettersson
Penguins,David Perron
Rangers,Zach Hyman
Capitals,Ryan Johansen
Jets,Vince Dunn
Kraken,Blake Coleman
Flyers,J.T. Compher
